iter	Passed	Remaining
0	10	599
1	16	470
2	24	463
3	30	425
4	37	415
5	42	385
6	50	379
7	56	366
8	61	347
9	68	340
10	74	332
11	81	326
12	88	318
13	94	310
14	100	302
15	106	294
16	112	285
17	119	279
18	125	270
19	132	265
20	138	257
21	144	250
22	151	244
23	159	238
24	166	232
25	172	226
26	180	220
27	187	213
28	192	205
29	200	200
30	206	193
31	213	186
32	218	178
33	222	169
34	225	161
35	228	152
36	231	144
37	234	135
38	236	127
39	238	119
40	241	111
41	243	104
42	245	96
43	247	89
44	248	82
45	250	76
46	252	69
47	254	63
48	255	57
49	257	51
50	259	45
51	260	40
52	262	34
53	263	29
54	264	24
55	266	19
56	267	14
57	268	9
58	270	4
59	271	0
